weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County
[object GeneralizedGeometry],35875,APPLING,26.2,70.4,Appling
[object GeneralizedGeometry],28682,ATKINSON,24.7,70.6,Atkinson
[object GeneralizedGeometry],33557,BACON,30.2,69.8,Bacon
[object GeneralizedGeometry],24219,BAKER,21.2,72.9,Baker
[object GeneralizedGeometry],35278,BALDWIN,21.3,73,Baldwin
[object GeneralizedGeometry],40162,BANKS,19.2,73.3,Banks
[object GeneralizedGeometry],51202,BARROW,19.8,73.2,Barrow
[object GeneralizedGeometry],49543,BARTOW,19.9,73,Bartow
[object GeneralizedGeometry],29162,BEN HILL,24.5,72.1,Ben Hill
[object GeneralizedGeometry],31506,BERRIEN,24.1,73.1,Berrien
[object GeneralizedGeometry],37920,BIBB,21.7,69.6,Bibb
[object GeneralizedGeometry],37853,BLECKLEY,25,71.5,Bleckley
[object GeneralizedGeometry],37374,BRANTLEY,22.2,71.1,Brantley
[object GeneralizedGeometry],35284,BROOKS,20.6,72.9,Brooks
[object GeneralizedGeometry],63818,BRYAN,18.3,73,Bryan
[object GeneralizedGeometry],34403,BULLOCH,20.5,73.7,Bulloch
[object GeneralizedGeometry],31597,BURKE,24.6,70.6,Burke
[object GeneralizedGeometry],50722,BUTTS,19.4,70.8,Butts
[object GeneralizedGeometry],30042,CALHOUN,23.1,71.9,Calhoun
[object GeneralizedGeometry],54155,CAMDEN,16.6,75.5,Camden
[object GeneralizedGeometry],35833,CANDLER,24.1,71.3,Candler
[object GeneralizedGeometry],46704,CARROLL,14.7,73,Carroll
[object GeneralizedGeometry],46143,CATOOSA,20.2,74.9,Catoosa
[object GeneralizedGeometry],39511,CHARLTON,20.6,71.1,Charlton
[object GeneralizedGeometry],45653,CHATHAM,20,74.1,Chatham
[object GeneralizedGeometry],48684,CHATTAHOOCHEE,16.1,72.8,Chattahoochee
[object GeneralizedGeometry],32825,CHATTOOGA,21.3,70.9,Chattooga
[object GeneralizedGeometry],67928,CHEROKEE,15,77.2,Cherokee
[object GeneralizedGeometry],33846,CLARKE,18.2,75.2,Clarke
[object GeneralizedGeometry],22582,CLAY,18.2,70,Clay
[object GeneralizedGeometry],42569,CLAYTON,16.2,74.3,Clayton
[object GeneralizedGeometry],33967,CLINCH,26.6,72.1,Clinch
[object GeneralizedGeometry],65180,COBB,15.1,77.7,Cobb
[object GeneralizedGeometry],35583,COFFEE,25.7,72.3,Coffee
[object GeneralizedGeometry],33186,COLQUITT,20.3,72.8,Colquitt
[object GeneralizedGeometry],67295,COLUMBIA,16.8,76.4,Columbia
[object GeneralizedGeometry],35983,COOK,26.5,70.8,Cook
[object GeneralizedGeometry],60675,COWETA,17,75.7,Coweta
[object GeneralizedGeometry],39403,CRAWFORD,20.9,72.9,Crawford
[object GeneralizedGeometry],32320,CRISP,28.6,71.5,Crisp
[object GeneralizedGeometry],41677,DADE,15.5,72.2,Dade
[object GeneralizedGeometry],53289,DAWSON,16.7,76.1,Dawson
[object GeneralizedGeometry],30061,DECATUR,24.9,71,Decatur
[object GeneralizedGeometry],51252,DEKALB,17.1,76,DeKalb
[object GeneralizedGeometry],36042,DODGE,24.2,71.8,Dodge
[object GeneralizedGeometry],30789,DOOLY,27.5,72.6,Dooly
[object GeneralizedGeometry],31789,DOUGHERTY,21.3,72.5,Dougherty
[object GeneralizedGeometry],54526,DOUGLAS,16.4,75,Douglas
[object GeneralizedGeometry],29772,EARLY,30.1,70,Early
[object GeneralizedGeometry],27933,ECHOLS,18.9,72.1,Echols
[object GeneralizedGeometry],62953,EFFINGHAM,17.7,74.7,Effingham
[object GeneralizedGeometry],35053,ELBERT,25,73.3,Elbert
[object GeneralizedGeometry],31675,EMANUEL,24.4,70.3,Emanuel
[object GeneralizedGeometry],36602,EVANS,23.8,71.3,Evans
[object GeneralizedGeometry],35446,FANNIN,24.5,75.4,Fannin
[object GeneralizedGeometry],81242,FAYETTE,16,79,Fayette
[object GeneralizedGeometry],41442,FLOYD,20.3,73.4,Floyd
[object GeneralizedGeometry],87585,FORSYTH,14.5,79.2,Forsyth
[object GeneralizedGeometry],32179,FRANKLIN,23,71.5,Franklin
[object GeneralizedGeometry],57664,FULTON,17.5,74.8,Fulton
[object GeneralizedGeometry],37257,GILMER,20.7,74.5,Gilmer
[object GeneralizedGeometry],32346,GLASCOCK,25.4,71.6,Glascock
[object GeneralizedGeometry],49986,GLYNN,22,72.7,Glynn
[object GeneralizedGeometry],40661,GORDON,20.3,72.7,Gordon
[object GeneralizedGeometry],32206,GRADY,18.2,73.3,Grady
[object GeneralizedGeometry],40728,GREENE,23,74.8,Greene
[object GeneralizedGeometry],61944,GWINNETT,14.6,78.2,Gwinnett
[object GeneralizedGeometry],41894,HABERSHAM,18,75.3,Habersham
[object GeneralizedGeometry],52174,HALL,14,76.4,Hall
[object GeneralizedGeometry],22716,HANCOCK,24.5,71.6,Hancock
[object GeneralizedGeometry],39227,HARALSON,17.4,70.8,Haralson
[object GeneralizedGeometry],68816,HARRIS,17.3,75.2,Harris
[object GeneralizedGeometry],35647,HART,21.1,73.7,Hart
[object GeneralizedGeometry],39947,HEARD,18.9,72.7,Heard
[object GeneralizedGeometry],62377,HENRY,15.5,74.9,Henry
[object GeneralizedGeometry],56265,HOUSTON,21,74.5,Houston
[object GeneralizedGeometry],38770,IRWIN,25.8,70.8,Irwin
[object GeneralizedGeometry],53393,JACKSON,19.4,73.9,Jackson
[object GeneralizedGeometry],43768,JASPER,19,72.9,Jasper
[object GeneralizedGeometry],35203,JEFF DAVIS,28.5,69.8,Jeff Davis
[object GeneralizedGeometry],27612,JEFFERSON,24.4,69.7,Jefferson
[object GeneralizedGeometry],27039,JENKINS,23.5,70.6,Jenkins
[object GeneralizedGeometry],34521,JOHNSON,25.9,72.9,Johnson
[object GeneralizedGeometry],53085,JONES,18,74.7,Jones
[object GeneralizedGeometry],39224,LAMAR,18.5,72.6,Lamar
[object GeneralizedGeometry],41867,LANIER,24.3,70.6,Lanier
[object GeneralizedGeometry],35912,LAURENS,25.9,72.3,Laurens
[object GeneralizedGeometry],58400,LEE,17.4,75.8,Lee
[object GeneralizedGeometry],44295,LIBERTY,17.4,73.8,Liberty
[object GeneralizedGeometry],34347,LINCOLN,26.8,71.2,Lincoln
[object GeneralizedGeometry],40044,LONG,21.8,74.1,Long
[object GeneralizedGeometry],38348,LOWNDES,19.6,72.1,Lowndes
[object GeneralizedGeometry],44595,LUMPKIN,19.2,75.3,Lumpkin
[object GeneralizedGeometry],38855,MCDUFFIE,21.9,70.3,McDuffie
[object GeneralizedGeometry],39506,MCINTOSH,21.1,74.1,McIntosh
[object GeneralizedGeometry],30906,MACON,23.4,72.6,Macon
[object GeneralizedGeometry],41404,MADISON,20.5,72.4,Madison
[object GeneralizedGeometry],33875,MARION,18.7,72.8,Marion
[object GeneralizedGeometry],37660,MERIWETHER,25,70,Meriwether
[object GeneralizedGeometry],32432,MILLER,32.3,72.9,Miller
[object GeneralizedGeometry],32838,MITCHELL,18.1,71.1,Mitchell
[object GeneralizedGeometry],47323,MONROE,19.3,74,Monroe
[object GeneralizedGeometry],33569,MONTGOMERY,21.7,71.6,Montgomery
[object GeneralizedGeometry],44908,MORGAN,20.1,74.8,Morgan
[object GeneralizedGeometry],36928,MURRAY,21.9,72.2,Murray
[object GeneralizedGeometry],41443,MUSCOGEE,19,71.6,Muscogee
[object GeneralizedGeometry],51336,NEWTON,20.2,73.7,Newton
[object GeneralizedGeometry],77571,OCONEE,17,77.3,Oconee
[object GeneralizedGeometry],42428,OGLETHORPE,19.9,73.3,Oglethorpe
[object GeneralizedGeometry],63190,PAULDING,16,75.3,Paulding
[object GeneralizedGeometry],41488,PEACH,22.5,69.2,Peach
[object GeneralizedGeometry],50829,PICKENS,20.1,74.9,Pickens
[object GeneralizedGeometry],39326,PIERCE,24,70.4,Pierce
[object GeneralizedGeometry],56658,PIKE,19.7,72.6,Pike
[object GeneralizedGeometry],38861,POLK,20.9,71.2,Polk
[object GeneralizedGeometry],34659,PULASKI,23.5,72.2,Pulaski
[object GeneralizedGeometry],40115,PUTNAM,22.3,72.9,Putnam
[object GeneralizedGeometry],32750,QUITMAN,12.3,70,Quitman
[object GeneralizedGeometry],32995,RABUN,21.2,74.9,Rabun
[object GeneralizedGeometry],32688,RANDOLPH,22,71.9,Randolph
[object GeneralizedGeometry],38952,RICHMOND,20.9,70.3,Richmond
[object GeneralizedGeometry],54704,ROCKDALE,20.6,75.6,Rockdale
[object GeneralizedGeometry],40612,SCHLEY,17.9,72.5,Schley
[object GeneralizedGeometry],34634,SCREVEN,22,70.6,Screven
[object GeneralizedGeometry],28909,SEMINOLE,36.4,72.9,Seminole
[object GeneralizedGeometry],40655,SPALDING,21.4,71.2,Spalding
[object GeneralizedGeometry],37535,STEPHENS,23.9,72.7,Stephens
[object GeneralizedGeometry],28222,STEWART,27.5,70,Stewart
[object GeneralizedGeometry],33528,SUMTER,21.6,72.5,Sumter
[object GeneralizedGeometry],26750,TALBOT,22.4,70,Talbot
[object GeneralizedGeometry],24390,TALIAFERRO,27,71.2,Taliaferro
[object GeneralizedGeometry],36520,TATTNALL,21.4,71.6,Tattnall
[object GeneralizedGeometry],28402,TAYLOR,22.8,72.9,Taylor
[object GeneralizedGeometry],24469,TELFAIR,28.6,72.1,Telfair
[object GeneralizedGeometry],32855,TERRELL,22.2,71.9,Terrell
[object GeneralizedGeometry],31471,THOMAS,17.1,71.8,Thomas
[object GeneralizedGeometry],37033,TIFT,24.7,72.1,Tift
[object GeneralizedGeometry],31757,TOOMBS,23.3,72.2,Toombs
[object GeneralizedGeometry],35843,TOWNS,20.1,74.9,Towns
[object GeneralizedGeometry],35960,TREUTLEN,25.7,71.6,Treutlen
[object GeneralizedGeometry],40246,TROUP,20.9,72.7,Troup
[object GeneralizedGeometry],27056,TURNER,25.2,70.8,Turner
[object GeneralizedGeometry],30533,TWIGGS,22.4,71.5,Twiggs
[object GeneralizedGeometry],42125,UNION,21.6,75.7,Union
[object GeneralizedGeometry],34905,UPSON,22.1,71.4,Upson
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster
[object GeneralizedGeometry],27601,WHEELER,28.3,71.6,Wheeler
[object GeneralizedGeometry],40720,WHITE,16.9,75,White
[object GeneralizedGeometry],41832,WHITFIELD,19.4,74.1,Whitfield
[object GeneralizedGeometry],31509,WILCOX,25.7,72.2,Wilcox
[object GeneralizedGeometry],28224,WILKES,26,71.2,Wilkes
[object GeneralizedGeometry],40331,WILKINSON,21.5,72.9,Wilkinson
[object GeneralizedGeometry],39205,WORTH,23.9,72.9,Worth